Ethnicity,DisciplineType,Weapons,Drugs,ViolenceWithInjury,ViolenceWithoutInjury,OtherNonDefiance,OtherDefiance,Total,Year
2.0,E,27.0,60.0,14.0,31.0,9.0,5.0,146.0,2014.0
6.0,E,134.0,159.0,304.0,327.0,47.0,43.0,1014.0,2014.0
0.0,E,4.0,7.0,7.0,12.0,1.0,1.0,32.0,2014.0
4.0,E,11.0,27.0,5.0,11.0,1.0,0.0,55.0,2014.0
5.0,E,775.0,1332.0,642.0,861.0,97.0,160.0,3867.0,2014.0
1.0,E,22.0,35.0,12.0,25.0,3.0,3.0,100.0,2014.0
3.0,E,9.0,9.0,6.0,15.0,2.0,3.0,44.0,2014.0
9.0,E,31.0,46.0,28.0,36.0,3.0,7.0,151.0,2014.0
7.0,E,289.0,505.0,173.0,262.0,22.0,64.0,1315.0,2014.0
2.0,I,9.0,48.0,112.0,496.0,125.0,1116.0,1906.0,2014.0
6.0,I,79.0,209.0,932.0,4447.0,506.0,14838.0,21011.0,2014.0
0.0,I,1.0,10.0,17.0,150.0,19.0,387.0,584.0,2014.0
4.0,I,2.0,23.0,48.0,177.0,47.0,447.0,744.0,2014.0
5.0,I,443.0,1546.0,2299.0,12349.0,2633.0,39378.0,58648.0,2014.0
1.0,I,13.0,28.0,95.0,310.0,55.0,897.0,1398.0,2014.0
3.0,I,6.0,9.0,18.0,108.0,21.0,404.0,566.0,2014.0
9.0,I,28.0,38.0,126.0,621.0,124.0,1772.0,2709.0,2014.0
7.0,I,216.0,463.0,1004.0,5152.0,975.0,14764.0,22574.0,2014.0
2.0,O,288.0,904.0,853.0,3071.0,601.0,1848.0,7565.0,2014.0
6.0,O,1316.0,4342.0,9432.0,36941.0,3288.0,22049.0,77368.0,2014.0
0.0,O,71.0,182.0,319.0,984.0,113.0,577.0,2246.0,2014.0
4.0,O,138.0,436.0,355.0,1204.0,238.0,712.0,3083.0,2014.0
5.0,O,6737.0,25741.0,19776.0,80983.0,12908.0,60158.0,206303.0,2014.0
1.0,O,155.0,546.0,541.0,2179.0,253.0,1742.0,5416.0,2014.0
3.0,O,71.0,254.0,246.0,930.0,161.0,627.0,2289.0,2014.0
9.0,O,334.0,929.0,1143.0,4540.0,549.0,3096.0,10591.0,2014.0
7.0,O,2676.0,8233.0,7854.0,32075.0,4136.0,23126.0,78100.0,2014.0
2.0,E,26.0,86.0,19.0,41.0,12.0,8.0,192.0,2013.0
6.0,E,147.0,191.0,276.0,412.0,58.0,71.0,1155.0,2013.0
0.0,E,10.0,24.0,4.0,12.0,4.0,9.0,63.0,2013.0
