Weapons,Drugs,ViolenceWithInjury,ViolenceWithoutInjury,OtherNonDefiance,OtherDefiance,Total
91.0,307.0,386.0,1318.0,179.0,1818.0,4099.0
245.0,608.0,728.0,2749.0,334.0,4697.0,9361.0
558.0,1301.0,1273.0,4631.0,908.0,5920.0,14591.0
127.0,369.0,437.0,1503.0,273.0,2167.0,4876.0
204.0,563.0,533.0,1717.0,326.0,2405.0,5748.0
9432.0,31517.0,25863.0,111628.0,15880.0,190815.0,385135.0
1923.0,5675.0,12257.0,47240.0,4559.0,63740.0,135394.0
4053.0,11875.0,11001.0,43796.0,6206.0,68966.0,145897.0
384.0,971.0,1144.0,4719.0,566.0,6453.0,14237.0
85.0,268.0,349.0,1280.0,139.0,1275.0,3396.0
210.0,673.0,734.0,2866.0,294.0,3769.0,8546.0
356.0,1104.0,1015.0,4315.0,818.0,4330.0,11938.0
110.0,354.0,333.0,1301.0,242.0,1569.0,3909.0
167.0,521.0,476.0,1614.0,289.0,1800.0,4867.0
8507.0,29924.0,24846.0,106850.0,14859.0,142648.0,327634.0
1680.0,5452.0,11932.0,45472.0,4085.0,49608.0,118229.0
3534.0,10328.0,9870.0,41733.0,5739.0,53791.0,124995.0
319.0,1099.0,1360.0,5460.0,597.0,5991.0,14826.0
76.0,199.0,343.0,1146.0,133.0,965.0,2862.0
190.0,609.0,648.0,2514.0,311.0,2642.0,6914.0
324.0,1012.0,979.0,3598.0,735.0,2969.0,9617.0
86.0,272.0,270.0,1053.0,184.0,1034.0,2899.0
151.0,486.0,408.0,1392.0,286.0,1159.0,3882.0
7955.0,28619.0,22717.0,94193.0,15638.0,99696.0,268818.0
1529.0,4710.0,10668.0,41715.0,3841.0,36930.0,99393.0
3181.0,9201.0,9031.0,37489.0,5133.0,37954.0,101989.0
393.0,1013.0,1297.0,5197.0,676.0,4875.0,13451.0
